Marqaa gubataa, nama hubataatu arga.
Kanaa achi dheekkamsi Waaqayyoo si irratti in boba'a; bokkaan akka hin roobnetti inni bantii waaqaa in cufa, laftis midhaan hin kennu; yommus ati biyya gaarii isa Waaqayyo siif kennu irraa daftee in badda.
Kanaafis dubbii koo kana garaa kee keessa, yaada kee keessas kaa'adhu, milikkitaaf akka siif ta'uttis harka keetti hidhadhu, akka seenaattis ija kee lamaan gidduutti rarraafadhu!
Mana kee keessa yommuu teessu, karaa irra yommuu adeemtu, yommuu ciiftu, yommuu kaatus waa'ee isaanii dubbadhu, ijoollee kees ittiin barsiisi!
Michichila balbala mana keetii fi karra kee irratti isaan caafi!
Yommus barri kee fi barri ijoollee kee biyya Waaqayyo abboota keef kennuudhaaf kakate keessatti hamma bantiiwwan waaqaa lafa gararraa jiranitti in dheerata.
Abboommii ani har'a si abboomu kana hundumaa cimsitee yoo eegde, Waaqayyo gooftaa kees yoo jaallatte, karaa isaa hundumaa irra yoo adeemte, isatti yoo maxxante,
Waaqayyo immoo saba kana hundumaa si duraa in kaasa; ati immoo saba si caalaa guddaadhaa fi humna-qabeessa in dhaalta.
Iddoon faanni miilla kee irra ejjetu hundinuu kan kee in ta'a; daariin lafa keetiis lafa onaadhaa ka'ee hamma Liibaanonitti, laga Efraaxiisii ka'ee immoo hamma galaana isa guddaa gara lixa-biiftuu jiruutti in adeema.
Waaqayyo gooftaan kee akkuma si abdachiise naasisuu kee fi sodaachisuu kee biyya miilli kee keessa ejjete hundumaa irra in buusa, namni si dura dhaabachuu danda'us hin jiru.
Ilaa! Ani har'a eebbaa fi abaarsa si dura nan kaa'a.
Abboommii Waaqayyo gooftaa keetii isa ani har'a si abboomu kana yoo eegde, kun eebba siif ta'a;
abboommii Waaqayyo gooftaa keetii yoo eeguu dhabaatte, karaa isaa isa ani har'a si abboomu kana irraas yoo jal'atte, waaqayyolii biraa warra dur hin beekne duukaas yoo buute, kun abaarsa sitti ta'a.
Yommuu Waaqayyo gooftaan kee biyya ati dhaqxee qabachuuf jirtutti si galchu, tulluu Geriiziim irraa eebba, tulluu Ebaal irraa abaarsa in labsita.
Tulloonni kun Yordaanos gama, biyya Kana'aanotaa isa karaa gara lixa-biiftuutiin Arabaayi keessa fuullee mandara Giilgal, qilxuu Mooree bukkee jiru keessatti argamu mitii ree?
Ati biyya Waaqayyo gooftaan kee siif kennu dhaqxee qabachuudhaaf laga Yordaanos ce'uuf jetta; biyyicha fudhattee yommuu isa keessa jiraattu,
seerrataa fi wanta qajeelaa ta'e isa ani har'a si dura kaa'u kana hundumaa akka eegduuf of eeggadhu!
Isin biyya Waaqayyo gooftaan inni kan abboota keessanii guutummaa bara lafa irra jiraattan hundumaatti qabeenya keessan akka godhattaniif isiniif kenne sanatti in galtu; isin biyyicha keessatti of eeggannaadhaan hojjechuun immoo kan isiniif ta'u seerrannii fi wanti qajeelaan kanatti aanee isa jiruu dha.
Sabni isin lafa gad dhiisiftan tulluu dhedheeraa irratti, gaara irratti, muka baala qabu hundumaa jalatti waaqayyolii isaaniif iddoo isaan itti sagadaa turan hundumaa raawwadhaa balleessaa!
Iddoo aarsaa isaanii diigaa, utuboota dhagaa qulqullaa'ootti ilaalaman sanas caccabsaa, mukkeetii qiqqirixamanii bifa "Asheeraa" waaqayyittii tolfamtuutiin dhaabamanis ibiddaan gubaa, bifa waaqayyolii tolfamoo isaaniis kukkutaa, maqaa isaaniis iddoo sana irraa balleessaa!
Isin garuu akka isaaniitti Waaqayyo gooftaa keessaniif hin sagadinaa!
Lafa Waaqayyo gooftaan keessan maqaa isaa itti waamsisuudhaaf, iddoo buufata isaas godhachuudhaaf gosa keessan hundumaa keessaa fo'atu barbaaddadhaa, achis dhaqaa!
Achitti qalma gubamuuf aarsaa keessan, kudhan keessaa tokkoo keessan, kennaa addaan kennitan, aarsaa wareegaa keessan, kennaa fedha keessaniin kennitan, sa'a keessaa, bushaayee keessaas angafa kan dhalatu dhi'eessaa!
Achitti fuula Waaqayyo gooftaa keessanii duratti nyaadhaa! Waanuma isin hojjettan hundumaanis Waaqayyo gooftaan keessan waan isin eebbiseef isin gammadaa, maatiin keessanis haa gammadan!
Isin akka nuyi har'a adduma addaan wanta nutti tole hojjennu kana hin godhinaa!
Isin amma illee iddoo boqonnaa fi dhaala isa Waaqayyo gooftaan keessan isiniif kennu sana bira hin geenye.
Garuu laga Yordaanosin in ceetu, biyya Waaqayyo gooftaan keessan akka dhaaltaniif isiniif kennu keessas in jiraattu; isin nagaatti akka jiraattaniif, inni diinota naannoo keessan jiran hundumaa irraa akka boqottan in godha.
Yommus isin wanta ani isin abboomu hundumaa, qalma keessan isa gubamu, aarsaa keessan, kudhan keessaa tokko, kennaa addaan kennitan, wareega keessan isa Waaqayyoof wareegdan hundumaas, iddoo isa Waaqayyo gooftaan keessan maqaan isaa akka itti waamamuuf fo'atu sanatti in dhi'eessitu.
Achitti isin, ilmaan keessan, intaloonni keessan, hojjetoonni keessan warri dhiiraa, warri dubartiis akkasumas Lewwoonni warri kellaa mandaroota keessanii keessa jiran, warri isinii wajjin hirmaata yookiis dhaala hin qabne fuula Waaqayyo gooftaa keessanii duratti haa gammadan!
Egaa qalma kee isa gubamu sana iddoodhuma argitetti akka hin dhi'eessineef of eeggadhu!
Iddoo Waaqayyo gosa kee keessaa fo'atu tokkotti aarsaa kee dhi'eessi, achitti wanta ani si abboome hundumaa godhi!
Garuu yeroodhuma garaan kee dharra'u hundumaa, kellaa mandaroota kee keessatti akkuma eebba Waaqayyo gooftaan kee siif kenneetti horii kee keessaa qalii foon nyaadhu, isas immoo akkuma nama foon kuruphee fi foon borofaa nyaatuutti, inni qullaa'aa ta'ee fi inni qullaa'aa hin ta'in haa nyaatu!
Dhiiga isaa garuu akkuma bishaanii lafatti gad naqi malee hin nyaatin!
Midhaan kee keessaa, cuunfaa waynii kee keessaa, dhadhaa ejersaa kee keessaa harka kurnaffaa isa baaftu, saawwan kee keessaa, bushaayee kee keessaas isa angafa dhalatu yookiis wareega isa wareegde, aarsaa fedha keen dhi'eessitu, kennaa addaa isa dhi'eessitu garuu kellaa mandara kee keessatti hin nyaatin!
Iddoo Waaqayyo gooftaan kee fo'atu sanatti fuula Waaqayyo gooftaa kee duratti isa nyaadhu! Ati ilma kee, intala kee, hojjetaa kee, hojjettuu kee, nama Lewwii mandara kee keessa jiruu wajjin nyaadhu, waan hojjettu hundumaattis fuula Waaqayyo gooftaa kee duratti gammadi!
Biyya kee keessa hamma jiraattutti, warra Lewwootaa akka hin ganne of eeggadhu!
Erga Waaqayyo gooftaan kee akkuma si abdachiisetti daarii biyya keetii siif bal'isee immoo, garaan kee foon nyaachuu yommuu dharra'u, ati, "Amma foon nyaachuu nan barbaada" in jetta; akkuma garaan kee dharra'ettis foon in nyaatta.
Iddoon Waaqayyo akka maqaan isaa itti waamamuuf fo'atu si irraa yoo fagaate immoo kanaan dura akkuman si abboome, saawwan kee fi bushaayee kee warra Waaqayyo siif kenne keessaa tokkuma qaladhu! Kellaa mandara kee keessatti hamma garaan kee barbaade nyaadhu!
Isas akkuma foon kuruphee fi foon borofaa nyaatamutti nyaadhu, inni qullaa'aa ta'ee fi inni qullaa'aa hin ta'in haa nyaatu!
Ati garuu dhiiga akka hin nyaanne hubadhu! Dhiigni lubbuu waan ta'eef, lubbuu foonii wajjin hin nyaatin!
Dhiiga akkuma bishaaniitti lafatti gad naqi malee hin nyaatin!
Ati ija Waaqayyoo duratti wanta qajeelaa yeroo hojjettu, siif, si booddeedhaanis ijoollee keetiif gaarii akka ta'uuf isa hin nyaatin!
Wanta qullaa'aa isa qabdu sanaaf aarsaa wareegde sana duwwaa fudhadhuutii gara iddoo isa Waaqayyo fo'atu sana dhaqi!
Aarsaa qalma gubamuu immoo foon isaa fi dhiiga isaa iddoo aarsaa isa kan Waaqayyo gooftaa keetii irratti dhi'eessi! Dhiigni aarsaa keetii iddoo aarsaa isa kan Waaqayyo gooftaa keetii irratti haa dhangalaafamu, foon isaa garuu ati nyaadhu!
Ammas ati ija Waaqayyo gooftaa keetii duratti waan gaarii fi waan qajeelaa yeroo hojjettu, siif, si booddeedhaanis ijoollee keetiif bara baraan gaarii akka ta'uuf, dubbiin amma si abboomu kana hundumaa of eeggadhuutii dhaggeeffadhu!
Waaqayyo gooftaan kee iddoo ati qabachuuf dhaqxu irraa, saba warra achi jiran fuula kee duraa raawwatee in balleessa; ati immoo biyya isaanii isaan irraa fudhattee keessa in jiraatta.
Erga isaan fuula kee duraa balleeffamanii booddee garuu, "Anis akkuma isaanii akkan godhuuf, sabni kun attamitti waaqayyolii isaaniif hojjechaa turan?" jettee waa'ee waaqayyolii isaanii iyyaafattee kiyyootti akka hin galleef of eeggadhu!
Isaan waanuma ciiggaasisaa Waaqayyo jibbu waaqayyolii isaaniif godhanii, ilmaan isaanii fi intaloota isaanii iyyuu ibidda keessa buusanii waaqayyolii isaaniif gubaniiru; ati garuu Waaqayyo gooftaa keef akkas hin godhin!
Waanuma ani si abboome of eeggadhuutii godhi malee, isa irratti hin dabalin, isa irraas hin hir'isin!
Raajiin yookiis namni abjuu abju'atu tokko isin gidduudhaa ka'ee milikkita yookiis dinqii yoo isinitti hime,
milikkinni yookiis dinqiin inni duraan isinitti hime fiixaan yoo ba'e, inni egaa, "Waaqayyolii kan biraa in waaqessina, in hojjennaafis" jedhee, warra isin dur hin beeknetti yoo isin geesse,
isin dubbii raajii sanaa yookiis namicha abjuu abju'atu sanaa hin dhaga'inaa! Waaqayyo gooftaan keessan akka isin garaa keessan guutuudhaan, yaada keessan guutuudhaanis isa jaallattan beekuudhaaf qoree isin in ilaala.
Isin Waaqayyo gooftaa keessan duukaa bu'aa, isa sodaadhaa, abboommii isaa eegaa, sagalee isaa dhaga'aa, isaaf hojjedhaa, isattis maxxanaa!
Raajiin yookiis namichi abjuu abju'atu sun immoo Waaqayyo gooftaa keessan isa biyya Gibxii isin baase, mana garbummaa keessaas isin fure irratti akka kaatan, karaa akka isin irra adeemtaniif Waaqayyo gooftaan keessan isin abboome irraas akka jal'attan waan godheef haa ajjeefamu! Akkasitti hamaa of gidduudhaa balleessaa!
Obboleessi kee haadhoon kee, ilmi kee, intalli kee, haati manaa kee jaallalleen kee yookiis firri kee inni ati akka lubbuu keetti jaallattu, "Kottuu dhaqnee waaqayyolii kan biraatiif hojjennaa" jedhee dhoksaatti si wallaalchisee, warra abboonni kee, atis hin beeknetti si geessee,
"Waaqayyolii saba warra sitti dhi'oo naannoo kee yookiis daarii lafaa gar tokko hamma gara kaaniitti sittii fagoo jiraniif hojjennaa" yoo jedhe,
ati isaaf tole hin jedhin, hin dhaggeeffatiniif, garaan kee isaaf hin oo'in, isa hin mararsiifatin, hin dhoksinis!
Isa ajjeesuudhaaf ati duraan dursi harka ol fudhadhu! Kana booddee immoo sabni hundinuu harka ol itti haa fudhatu! Ati akkasitti isa ajjeesi!
Inni Waaqayyo gooftaa kee isa biyya Gibxii mana garbummaa keessaa si baase irraa gara si galchuu waan yaadeef, ati dhagaadhaan rukutii isa ajjeesi!
Yommus warri Israa'el hundinuu kana in dhaga'u, in sodaatus, isaan keessaas hammina akkasii namni tokko illee deebi'ee hin hojjetu.
Mandaroota Waaqayyo gooftaan keessan akka isin keessa jiraattaniif isiniif kennu keessaa mandara isa tokko keessatti wanti tokko utuu dubbatamuu yoo dhageessan,
kunis namoonni ilmaan Beliyaal ta'an tokko isin gidduudhaa ba'anii, "Kottaa dhaqnee waaqayyolii kan biraatiif hojjennaa" jedhanii, warra isin dur hin beeknetti isin geessanii, namoota mandara isaanii sana karaa irraa yoo kaachisan,
wanti jibbisiisaan akkasii kun isin gidduutti dhuguma hojjetameera yoo ta'e, iyyaafadhaa, qoraa, ba'eessa godhaa gaafadhaa!
Warra mandara sana keessa jiraatan hundumaa billaadhaan ajjeesaa! Saba sanaa fi horii isaanii hundumaa qara billaatiin raawwadhaa balleessaa!
Wanta mandaricha keessaa booji'ame hundumaa iddoo walga'ii mandarichaa walakkaatti walitti qabaatii, akka qalma gubamuutti Waaqayyo gooftaa keessan duratti mandarichaa wajjin ibiddaan gubaa! Inni gubame sunis bara hundumaaf tuulamee haa taa'u malee deebi'ee hin ijaaramin.
Wanta abaarame kana keessaa tokko illee harka keessan keessatti hin argamu yoo ta'e, Waaqayyo aarii isaa isa sodaachisaa irraa deebi'ee akkuma abboota keessaniif kakatetti araara isinitti in argisiisa, isiniif in oo'a, isin in baay'isas.
Isin sagalee Waaqayyo gooftaa keessanii yoo dhageessan, abboommii isaa isa ani har'a isin abboomu kana hundumaas yoo eegdan, wanta ija Waaqayyo gooftaa keessanii duratti qajeelaa ta'es yoo hojjettan, inni immoo kana isiniif in godha.
Isin ijoollee Waaqayyo gooftaa keessanii ti; kanaaf warra du'aniif of hin murmurinaa, gubbee mataa keessaniis hin haaddatinaa!
Isin saba Waaqayyo gooftaa keessaniif qulqullooftanii dha; Waaqayyo saba dhuunfaa isaa akka taataniif, saba irra lafaa irra jiran hundumaa keessaa addumaan isin fo'ateera.
Ati wanta ciiggaasisaa tokko illee hin nyaatin!
Horii qe'ee fi wanta daggalatti galan keessaa kan ati nyaattu kanatti aananii jiru; sa'a, hoolaa, reettii,
borofa, kuruphee, gaaf-torbo, bosonuu, qorkee, qelejjee, hoolaa tulluu,
horii qe'ee fi wanta daggalatti galan keessaa isa kotteen isaa baqaqee lamatti hiramuu fi kan alala guuru hundumaa nyaachuu in dandeessa;
garuu warra alala guuranii, kotteen isaanii baqaqe keessaa iyyuu gaala, illeettii, osolees hin nyaatin! Isaan kun alala in guuru! Garuu kotteen isaanii gargar hin hiramne; isaan si duratti xuraa'oo haa ta'an!
Boyyeen immoo kotteen isaa baqaqaa yoo ta'e iyyuu alala waan hin guurreef si duratti xuraa'aa haa ta'u! Foon isaanii hin nyaatin, raqa isaaniitti hin bu'in!
Warra bishaanitti galan hundumaa keessaa immoo kanatti aananii kan jiran nyaadhu! Waanuma waan akka baallee fi qola qabu nyaadhu!
Waanuma waan akka baallee fi qola hin qabne immoo hin nyaatin! Inni si duratti xuraa'aa haa ta'u!
Simbirrootaa fi allaattota warra akka qullaa'ootti ilaalaman hundumaa nyaadhu!
Warra kanatti aananii jiran immoo hin nyaatin! Joobira, domboo, gogocoroon,
rumicha, foggi, culullee akka qomoo qomoo isaatti,
qurruu akka qomoo qomoo isaatti,
guchii, simbira ekeraa, allaattii bishaanii, corofee akka qomoo qomoo isaatti,
haadha onaa, hurunguu guddaa, indaanqoo bishaanii,
haadha waaqoo, allaattii raqaa, haadha quufoo,
allaattii hawaannisaa, huummoo, haadha gaayyee akka qomoo qomoo isaatti, simbira halkaniis.
Munyuuqaan baallee qabu hundinuu si biratti xuraa'aa haa ta'u, isa hin nyaatin!
Uumama baallee qabu isa akka qullaa'aatti ilaalamu garuu nyaadhu!
Ati saba Waaqayyo gooftaa keetiif qulqulloofte waan taateef, ofiin-du'ii tokko illee hin nyaatin, galaan dallaa kee keessa jiru akka nyaatuuf isaaf kenni yookiis ormatti gurguradhu! Ilmoo reettiis aannan haadha isheetiin hin affeelin.
Ati dhugumaan wanta waggaa waggaatti lafa kee irraa galfattu hundumaa keessaa kudhan keessaa tokko baasuun si irra jira.
Ati guutummaa bara jireenya keetii Waaqayyoon gooftaa kee sodaachuu akka bartutti, kudhan keessaa tokko midhaan keettii, kan daadhii waynii keettii, kan dhadhaa ejersaa keettii, isa saawwan kee fi bushaayee kee keessaa angafa dhalates, iddoo Waaqayyo gooftaan kee maqaan isaa akka itti waamamuuf fo'atutti, fuula isaa duratti nyaadhu!
Yeroo Waaqayyo si eebbisutti immoo kudhan keessaa tokkoo sana geessuudhaaf iddoon Waaqayyo gooftaan kee maqaan isaa akka itti waamamuuf fo'atu sun si irraa fagaatee karaan isaa yoo sitti dheerate,
ati horiitti isa calleessi! Horichas gudunfii harkatti qabadhuu gara iddoo Waaqayyo gooftaan kee fo'atu sanaa dhaqi!
Horichaanis wanta barbaadde, sangaa yookiis hoolaa yookiis daadhii waynii yookiis dhugaatii cimaa, waanuma garaan kee kajeele biti! Achitti ati fuula Waaqayyoo duratti isa nyaadhuutii gammadi! Warri mana keetiis fuula Waaqayyoo duratti isa nyaatanii haa gammadan!
Sanyii Lewwii isa kellaa mandaroota kee keessa jiraatu, isa sii wajjin qooda yookiis dhaala hin hirmatin immoo hin irraanfatin!
Dhuma wagguma waggaa sadaffaatti immoo wanta bara sana galfatte keessaa kudhan keessaa tokko hundumaa fidiitii kellaa mandaroota kee keessa kaa'i!
Waaqayyo gooftaan kee waan hojjettu hundumaan akka si eebbisutti, sanyiin Lewwii inni sii wajjin qooda yookiis dhaala hin hirmatin, galaan, ijoolleen abbaan irra hin jirre, dubartiin abbaan manaa irraa du'e, warri kellaa mandaroota keetii keessa jiraatan dhufanii isa haa nyaatan, haa quufanis!
Ati dhuma waggaa torbaffaa hundumaatti gatii namaaf dhiisi!
Akki itti gatii namaaf dhiisan kanatti fufee jira; gatiin akka namaaf dhiifamu Waaqayyo biraa labsiin waan himameef, namni obboleessa isaa nama Israa'el irraa gatii qabu, gatii sana haa dhiisuuf!
Gatii orma irraa qabdu garuu irraa fudhachuu in dandeessa; waan obboleessa kee irraa qabdu immoo dhiisiif!
Waaqayyo gooftaan kee biyya dhaala godhee siif kennu keessatti guddaa waan si eebbisuuf, sanyii kee keessatti dhabaan hin argamu.
Sagalee Waaqayyo gooftaa keetii ba'eessa gootee yoo dhaggeeffatte, abboommii isa ani har'a si abboomu kana hundumaas ba'eessa gootee yoo eegde,
Waaqayyo gooftaan kee akkuma si abdachiisetti si eebbisuuf jira; ati saba baay'eedhaaf in liqeessita, ofii garuu hin liqeeffattu; ati saba baay'ee irratti in moota, isaan garuu si irratti hin mo'an.
Obboloota kee warra mandaroota biyya kee isa Waaqayyo gooftaan kee siif kennu keessa jiraatan keessaa inni tokko dhabaa yoo ta'e, garaa itti hin jabaatin yookiis harki kee obboleessa kee isa dhabaatti hiixachuu hin dhiisin!
Harka kee diriirsiif, wanta isa barbaachisu hamma ga'utti liqeessiif!
Ati, "Waggaa torbaffaan inni itti liqii namaaf dhiisan dhi'aateera" jettee, obboleessa kee isa dhabaa ija hamaatiin akka hin ilaalleef, yaadni hamaan garaa kee keessatti akka hin argamneef of eeggadhu! Ati yoo waa isa dhowwatte, inni immoo Waaqayyotti si iyyata, kunis cubbuu sitti in ta'a.
Ati yommuu isaaf kennitu gammachuudhaan isaaf kenni malee garaan kee hin micicin! Waaqayyo gooftaan kee immoo hojii kee hundumaatti, waan harkaan qabdu hundumaattis si eebbisa.
Namni deegaan biyya kee keessaa waan hin dhabamneef, obboleessa kee isa dhabaa fi deegaa biyya kee keessa jiruuf harka kee akka diriirsituuf sin abbooma.
Sanyii warra Ibrootaa keessaa dhiirri tokko sitti of gurguree yookiis dubartiin tokko sitti of gurgurtee waggaa ja'a yoo siif hojjete, waggaa torbaffaatti akka birmaduutti gad dhiisi!
Yommuu akka birmaduutti gad dhiiftu immoo harka duwwaa hin adeemsisin!
Waaqayyo gooftaan kee guddaa waan si eebbiseef ati immoo bushaayee kee keessaa, midhaan oobdii kee keessaa, cuunfaa waynii kee keessaas isaaf kenni!
Ati takka biyya Gibxiitti garbicha akka turte, Waaqayyo gooftaan kee immoo akka si fure yaadadhu! Ani kanaafan har'a isa kana si abbooma.
Inni immoo si bira taa'uun waan isatti toleef siifi maatii kee waan jaallatuuf, "Ani si biraa hin adeemu" yoo siin jedhe,
gara balbalaatti geessii mutaadhaan gurra isaa uri! Akkasitti inni guutummaa bara jireenya isaatti garbicha siif haa ta'u! Gurra garbittii kees immoo akkasuma godhi!
Yoo gad isa dhiifte garuu hojjetaan qacarame tokko waggaa ja'a kan siif hojjetu irra dachaa lama kan ta'u inni waan siif hojjeteef, akka birmaduutti gad isa dhiisuun jabaa sitti hin fakkaatin! Waaqayyo gooftaan kees wanta ati gootu hundumaatti si eebbisa.
Saawwan kee keessaa korommii, bushaayee kee keessaa korbeeyyii warra angafa dhalatan Waaqayyo gooftaa keetiif addaan baasi! Korommii angafa dhalataniin hin qotin! Korbeeyyii angafa dhalatan rifeensa isaanii hin murin!
Iddoo Waaqayyo fo'atutti atii fi maatiin kee fuula Waaqayyo gooftaa keetii duratti waggaa waggaatti isaan in nyaattu!
Garuu horiin tokko mudaa yoo qabaate, hokkolaa yookiis jaamaa yoo ta'e, hir'ina guddaas yoo qabaate, Waaqayyo gooftaa keetiif aarsaa hin dhi'eessin!
Horii akkasii kana dallaa mandara kee keessatti nyaadhu! Inni qullaa'aa hin ta'in, inni qullaa'aa ta'es akkuma foon kuruphee fi foon borofaa nyaatanitti walumaa wajjin haa nyaatan!
Dhiiga isaa garuu akkuma bishaanii lafatti gad naqi malee hin nyaatin!
Ati ji'a Abiib yaadadhu! Waaqayyo gooftaan kee ji'a Abiibitti halkaniin biyya Gibxii keessaa waan si baaseef ayyaana Faasiikaa Waaqayyo gooftaa keetiif ayyaanessi!
Iddoo Waaqayyo maqaan isaa akka itti waamamuuf fo'atu sanatti, ati bushaayee keessaa yookiis saawwan keessaa aarsaa Faasiikaa Waaqayyo gooftaa keetiif dhi'eessi!
Isas buddeena bukaa'aa wajjin hin nyaatin! Ati ariitiidhaan biyya Gibxii keessaa waan baateef, guutummaa bara jireenya keettis guyyaa itti biyya Gibxi keessaa baate sana akka yaadattuuf guyyaa torba maxinoo wajjin nyaadhu! Innis buddeena rakkinaa ti.
Guyyoota torban sana raacitiin tokko illee guutummaa biyya keetii keessatti hin argamin! Foon ati guyyaa duraa galgala aarsaa dhi'eessite irraas guutummaa halkan sanaa irraa hafee hamma ganamaatti hin turin!
Aarsaa Faasiikaa, mandaroota Waaqayyo gooftaan kee siif kennu keessaa tokko keessatti iyyuu hin dhi'eessin!
Iddoo Waaqayyo gooftaan kee maqaan isaa akka itti waamamuuf fo'atu sanatti garuu, aarsaa Faasiikaa sana, galgala yeroo aduun lixxu, yeroo itti biyya Gibxii baatetti dhi'eessi!
Iddoo Waaqayyo gooftaan kee fo'atu sanatti isa affeelii nyaadhu! Ganama immoo deebi'ii godoo keetti gali!
Guyyoota ja'a maxinoo nyaadhu! Guyyaa torbaffaatti immoo Waaqayyo gooftaa keetiif walga'iin ulfina-qabeessi haa godhamu! Guyyaa sanatti hojii hin hojjetin!
Haamaadhaaf guyyaa haamtuu midhaan irra keessee jalqabiitii torban torba lakkaa'i!
Akkuma eebba Waaqayyo gooftaa kee irraa argatteettis, aarsaa jaalala keetiin dhi'eessitu kennuudhaan Waaqayyo gooftaa keetiif ayyaaneffadhu!
Ati, ilmi kee, intalli kee, hojjetaan kee, hojjettuun kee, sanyiin Lewwii warri kellaa mandaroota kee keessa jiraatan, galaan, ijoolleen abbaan irra hin jirre, dubartiin abbaan manaa irraa du'e isin gidduu kan jiraatanis iddoo Waaqayyo gooftaan kee maqaan isaa akka itti waamamuuf fo'atetti, Waaqayyo gooftaa kee duratti walii wajjin gammadaa!
Atis biyya Gibxiitti garba akka turte yaadadhu! Seerrata kanas gaarii godhii eegi!
Yeroo midhaan kee oobdii irraa, waynii kees lafa cuunfaa isaatii galfattu ayyaana Gordommaa guyyaa torba ayyaaneffadhu!
Ayyaaneffachuu kee kanattis, ati, ilmi kee, intalli kee, hojjetaan kee, hojjettuun kee, sanyiin Lewwii, galaan, ijoolleen abbaan irra hin jirree fi dubartiin abbaan manaa irraa du'e warri kellaa mandaroota kee keessa jiraatanis, walii wajjin itti gammadaa!
Ati dhugumaan akka gammaddutti, Waaqayyo gooftaan kee waan ati galfattuun, hojii harka kee hundumaanis waan si eebbisuuf, iddoo inni fo'atu sanatti ayyaanicha Waaqayyo gooftaa keef guyyaa torba ayyaaneffadhu!
Dhiironni kee hundinuu iddoo Waaqayyo fo'atu sanatti, waggaatti si'a sadii, ayyaana Maxinootti, ayyaana Makariitti, ayyaana Gordommaattis fuula Waaqayyo gooftaa keetii duratti haa argaman! Isaan harka isaanii duwwaa Waaqayyo duratti hin dhi'aatin!
Akka eebba Waaqayyo gooftaan kee siif kenneetti, namni adduma addaan hamma danda'u haa kennu!
Kellaa mandaroota kee warra Waaqayyo gooftaan kee siif kennu hundumaa keessatti akka gosa gosa keetiitti abboota firdii fi geggeessitoota hojii irra dhaabi! Isaan saba sanaaf firdii qajeelaa haa kennan!
Firdii hin jal'isin, hin loogin! Gabbarsuun ija warra ogeeyyii jaamsee, dubbii warra qajeelotaas waan micciiruuf, gabbarsuu hin fudhatin!
Ati akka jiraattuuf, biyya Waaqayyo gooftaan kee siif kennus akka dhaaltuuf, firdii isa dhugaa duukaa bu'i!
Iddoo aarsaa Waaqayyo gooftaa keetiif hojjettu bukkeetti, mukkeetii jalatti sagadan isa akka kan waaqayyittii tolfamtuu sanaa hin dhaabin!
Utuboota dhagaa warra Waaqayyo gooftaan kee jibbus hin dhaabin!
Waaqayyo gooftaa kee duratti ciigga'amaa waan ta'eef, ati korma yookiis korbeessa mudaa yookiis karaa tokkoon illee hir'ina qabu Waaqayyo gooftaa keetiif aarsaa hin dhi'eessin!
Dhiirri yookiis dubartiin si gidduudhaa, mandaroota Waaqayyo gooftaan kee siif kennu keessaa kakuu cabsuudhaan, ija Waaqayyo gooftaa keetii duratti hamaa hojjetu yoo argame,
abboommii koo didee waaqayyolii kan biraaf yoo hojjete, yoo isaaniif sagades aduudhaaf yookiis ji'aaf yookiis macca waaqa keessaa tokkoof iyyuu yoo sagade,
dubbiin kunis yoo sitti himame, ba'eessa godhii qori, wanti ciiggaasisaan kun Israa'el keessatti ta'uun isaa dhugaa yoo ta'e,
dhiira yookiis dubartii nama wanta hamaa kana hojjete, gara karra mandarichaatti geessiitii dhagaadhaan rukutii ajjeesi!
Inni ajjeefamu sun namni lama yookiis namni sadii yoo isa irratti dhugaa ba'an ajjeefama malee, dhugaa ba'uu nama tokkootiin hin ajjeefamu.
Isa ajjeesuudhaaf immoo harka warra dhuga-baatotaatu dura dhagaa itti darbata, kana booddee immoo harka namoota hundumaatu itti darbata; akkasitti hamaa of gidduudhaa in balleessitu.
Dubbiin dhiiga dhangalaasuu, waa'een qabeenya namaa, waa'een rukutanii nama miidhuu si gidduutti ka'ee yaa'ii karra mandaraatti yommuu dhi'aatu, ati immoo murtoo itti kennuu yeroo dadhabdu, iddoo Waaqayyo gooftaan kee fo'atutti geessi!
Lewwoota warra lubootaa fi abbaa firdii warra yeroo sana firdii kennuudhaaf hojii irra jiran bira dhaqiitii isaan gaafadhu! Yommus isaan firdicha sitti in himu.
Atis waan isaan iddoo Waaqayyo fo'atu sanatti sitti himan godhi! Waan isaan jedhan hundumaas ba'eessa godhii eegi!
Akka seera isaan si barsiisanii fi murtoo isaan kennaniitti hojjedhu malee, isa irraa gara mirgaatti, gara bitaattis hin jal'atin!
Namni tokko luba yookiis abbaa firdii isa Waaqayyo gooftaa keef hojjechuudhaaf achi dhaabatuuf dhaga'uu didee yoo tuffate haa ajjeefamu! Ati Israa'el keessaa wanta hamaa balleessi!
Jarri hundinuus kana in dhaga'u, in sodaatu, deebi'anii tuffachuu irraas of in eeggatu.
Biyya Waaqayyo gooftaan kee siif kennutti galtee laficha qabattee isa keessa erga teessee booddee, "Akka saba naannoo koo jiran hundumaa mootii of irratti nan moosifadha" in jetta ta'a;
obboloota kee keessaa mootii isa Waaqayyo gooftaan kee fo'atu of irratti moosisi malee, nama ormaa isa obboleessa kee hin ta'in of irratti hin moosisin!
Mootichis fardeen hin baay'ifatin! Waaqayyo, "Karaa kanaan lammaffaa hin deebi'inaa" erga jedhee, akka namoonni biyya Gibxii dhaqanii fardeen baay'ifatanis hin godhin!
